Country,US_Tax_Treaty,Digital_Nomad_Visa
Portugal,Yes,Yes
Spain,Yes,Yes
Italy,Yes,Yes
Greece,Yes,Yes
Malta,Yes,Yes
Cyprus,Yes,Yes
Croatia,Yes,Yes
France,Yes,No
Germany,Yes,No
Ireland,Yes,No
Estonia,Yes,Yes
Czechia,Yes,Yes
Hungary,Yes,Yes
Poland,Yes,Yes
Romania,Yes,Yes
Bulgaria,Yes,Yes
Slovenia,Yes,Yes
Slovakia,Yes,Yes
Latvia,Yes,Yes
Lithuania,Yes,Yes
Albania,Yes,Yes
Montenegro,Yes,Yes
Georgia,No,Yes
Serbia,Yes,Yes
Mexico,Yes,Yes
Costa Rica,No,Yes
Colombia,Yes,Yes
Panama,Yes,Yes
Brazil,Yes,Yes
Argentina,Yes,Yes
Uruguay,Yes,Yes
Chile,Yes,Yes
Ecuador,Yes,Yes
Belize,No,Yes
Thailand,No,Yes
Vietnam,No,Yes
Indonesia,No,Yes
Malaysia,Yes,Yes
Philippines,Yes,Yes
Japan,Yes,No
South Korea,Yes,No
Taiwan,No,Yes
Sri Lanka,No,Yes
UAE,No,Yes
Turkey,Yes,Yes
South Africa,Yes,Yes
Mauritius,Yes,Yes
Morocco,Yes,Yes
Barbados,Yes,Yes
Bermuda,Yes,Yes
